Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,DayOfWeek,Store_Grouped
13,2011-03-25,1807545.43,0,42.38,3.435,128.6160645,7.47,2011.0,3.0,25.0,4.0,13
6,2010-05-28,1644470.66,0,78.89,2.759,212.412888,7.0920000000000005,2010.0,5.0,28.0,4.0,999
15,2011-06-03,695396.19,0,69.8,4.069,134.85516130000002,7.657999999999999,2011.0,6.0,3.0,4.0,999
20,2012-02-03,2203523.2,0,39.93,3.617,213.0236225,6.961,2012.0,2.0,3.0,4.0,999
8,2011-08-19,895066.5,0,82.92,3.554,219.07019680000005,6.425,2011.0,8.0,19.0,4.0,999
18,2010-10-15,1029618.1,0,52.02,2.878,132.7633548,9.331,2010.0,10.0,15.0,4.0,999
7,2011-05-13,414094.05,0,36.61,3.767,192.826069,8.595,2011.0,5.0,13.0,4.0,7
1,2012-03-16,1677472.78,0,64.74,3.734,221.2118132,7.348,2012.0,3.0,16.0,4.0,999
17,2010-10-01,829207.27,0,60.07,2.853,126.2346,6.885,2010.0,10.0,1.0,4.0,999
7,2010-04-02,561145.14,0,38.26,2.725,189.7048215,8.963,2010.0,4.0,2.0,4.0,7
5,2011-05-13,290930.01,0,77.38,3.899,216.5343611,6.489,2011.0,5.0,13.0,4.0,5
18,2012-10-12,1074079.0,0,50.97,4.029,138.9117,8.243,2012.0,10.0,12.0,4.0,999
19,2010-03-26,1427023.45,0,39.07,2.963,131.863129,8.35,2010.0,3.0,26.0,4.0,19
19,2012-05-04,1405007.44,0,50.76,4.124,138.0332,8.15,2012.0,5.0,4.0,4.0,19
17,2012-10-12,919878.34,0,44.82,3.797,131.1083333,5.527,2012.0,10.0,12.0,4.0,999
16,2011-05-20,435397.19,0,43.95,3.828,192.831317,6.339,2011.0,5.0,20.0,4.0,999
17,2010-04-16,757738.76,0,45.22,2.915,126.5621,6.635,2010.0,4.0,16.0,4.0,999
7,2012-02-10,563460.77,1,18.79,3.103,196.9195056,8.256,2012.0,2.0,10.0,4.0,7
19,2011-03-25,1266564.94,0,33.26,3.789,133.9587419,7.771,2011.0,3.0,25.0,4.0,19
3,2011-09-23,365248.94,0,80.19,3.467,219.7414914,7.567,2011.0,9.0,23.0,4.0,3
4,2011-06-24,2008344.92,0,81.85,3.57,129.0663,5.9460000000000015,2011.0,6.0,24.0,4.0,999
5,2011-11-11,311906.7,0,60.71,3.297,218.5699621,6.3,2011.0,11.0,11.0,4.0,5
18,2012-04-27,961186.23,0,50.43,4.023,137.9781333,8.304,2012.0,4.0,27.0,4.0,999
1,2010-02-12,1641957.44,1,38.51,2.548,211.24216980000003,8.106,2010.0,2.0,12.0,4.0,999
2,2012-02-24,1861802.7,0,54.63,3.555,220.275944,7.057,2012.0,2.0,24.0,4.0,999
5,2010-07-30,268929.03,0,82.46,2.64,211.9270006,6.496,2010.0,7.0,30.0,4.0,5
19,2010-07-02,1549018.68,0,66.25,2.958,132.5218667,8.099,2010.0,7.0,2.0,4.0,19
16,2012-03-30,485095.41,0,48.29,3.75,197.4133259,6.162000000000001,2012.0,3.0,30.0,4.0,999
13,2012-06-01,2035431.39,0,61.11,3.788,130.95922579999998,5.965,2012.0,6.0,1.0,4.0,13
2,2010-11-12,1916812.74,0,59.69,2.728,211.6608975,8.163,2010.0,11.0,12.0,4.0,999
10,2012-07-06,1805999.79,0,86.87,3.666,130.7196333,7.17,2012.0,7.0,6.0,4.0,999
